SensorID,Humidity,Temperature,Date,Time
633384,43.81,21.4,2022-11-14,22:28:00
633384,43.3,21.6,2022-11-14,22:08:00
633384,43.38,21.7,2022-11-14,21:48:00
633384,43.63,21.6,2022-11-14,21:28:00
633384,43.73,21.3,2022-11-14,21:08:00
633384,43.04,21.7,2022-11-14,20:48:00
633384,43.54,21.7,2022-11-14,20:28:00
633384,43.79,21.4,2022-11-14,20:08:00
633384,43.19,21.7,2022-11-14,19:48:00
633384,43.87,21.7,2022-11-14,19:28:00
633384,44.19,21.5,2022-11-14,19:08:00
633384,43.97,21.8,2022-11-14,18:48:00
633384,44.23,21.9,2022-11-14,18:28:00
633384,45.22,21.4,2022-11-14,18:08:00
633384,45.35,21.5,2022-11-14,17:48:00
633384,45.82,21.7,2022-11-14,17:28:00
633384,46.65,21.9,2022-11-14,17:08:00
633384,46.78,22.0,2022-11-14,16:48:00
633384,47.06,21.9,2022-11-14,16:28:00
633384,46.77,22.0,2022-11-14,16:08:00
633384,46.7,22.0,2022-11-14,15:48:00
633384,47.43,22.0,2022-11-14,15:28:00
633384,47.42,21.9,2022-11-14,15:08:00
633384,47.03,21.9,2022-11-14,14:48:00
633384,47.44,22.0,2022-11-14,14:28:00
633384,48.04,22.1,2022-11-14,14:08:00
633384,47.62,22.0,2022-11-14,13:48:00
633384,48.11,22.0,2022-11-14,13:28:00
633384,48.85,21.9,2022-11-14,13:08:00
633384,47.98,21.8,2022-11-14,12:48:00
633384,48.47,21.8,2022-11-14,12:28:00
633384,48.5,22.0,2022-11-14,12:08:00
633384,49.22,21.9,2022-11-14,11:48:00
633384,49.83,21.8,2022-11-14,11:28:00
633384,49.42,21.6,2022-11-14,11:08:00
633384,48.32,22.0,2022-11-14,10:48:00
633384,50.02,22.5,2022-11-14,10:28:00
633384,51.43,22.4,2022-11-14,10:08:00
633384,54.67,21.0,2022-11-14,09:48:00
633384,54.71,20.2,2022-11-14,09:28:00
633384,52.06,19.7,2022-11-14,09:08:00
633384,52.06,19.7,2022-11-14,08:48:00
633384,52.62,19.9,2022-11-14,08:28:00
633384,56.01,17.6,2022-11-14,08:08:00
633384,55.97,17.5,2022-11-14,07:48:00
633384,56.11,17.5,2022-11-14,07:28:00
633384,56.38,17.5,2022-11-14,07:08:00
633384,56.57,17.5,2022-11-14,06:48:00
633384,56.79,17.5,2022-11-14,06:28:00
633384,57.08,17.5,2022-11-14,06:08:00
633384,57.26,17.6,2022-11-14,05:48:00
633384,57.52,17.5,2022-11-14,05:28:00
633384,57.71,17.5,2022-11-14,05:08:00
633384,57.97,17.5,2022-11-14,04:48:00
633384,58.19,17.6,2022-11-14,04:28:00
633384,58.35,17.6,2022-11-14,04:08:00
633384,58.5,17.6,2022-11-14,03:48:00
633384,58.65,17.5,2022-11-14,03:28:00
633384,58.73,17.6,2022-11-14,03:08:00
633384,58.77,17.5,2022-11-14,02:48:00
633384,58.79,17.5,2022-11-14,02:28:00
633384,58.74,17.5,2022-11-14,02:08:00
633384,58.64,17.5,2022-11-14,01:48:00
633384,58.44,17.5,2022-11-14,01:28:00
633384,58.23,17.5,2022-11-14,01:08:00
633384,57.94,17.5,2022-11-14,00:48:00
633384,57.75,17.6,2022-11-14,00:28:00
633384,57.59,17.6,2022-11-14,00:08:00
